Entity,Day,reported_ari_cases
Albania,2013-06-17,9348
Albania,2013-06-24,8789
Albania,2013-07-01,8516
Albania,2013-07-08,0
Albania,2013-07-15,7811
Albania,2013-07-22,0
Albania,2013-07-29,0
Albania,2013-08-05,0
Albania,2013-08-12,7064
Albania,2013-08-19,7698
Albania,2013-08-26,7723
Albania,2013-09-02,8092
Albania,2013-09-09,0
Albania,2013-09-16,9465
Albania,2013-09-23,11566
Albania,2013-09-30,11116
Albania,2013-10-07,11040
Albania,2013-10-14,10610
Albania,2013-10-21,11579
Albania,2013-10-28,0
Albania,2013-11-04,11944
Albania,2013-11-11,12192
Albania,2013-11-18,0
Albania,2013-11-25,10788
Albania,2013-12-02,0
Albania,2013-12-09,0
Albania,2013-12-16,0
Albania,2013-12-23,12786
Albania,2013-12-30,0
Albania,2014-01-06,0
Albania,2014-01-13,13808
Albania,2014-01-20,13957
Albania,2014-01-27,0
Albania,2014-02-03,0
Albania,2014-02-10,0
Albania,2014-02-17,0
Albania,2014-02-24,17238
Albania,2014-03-03,0
Albania,2014-03-10,0
Albania,2014-03-17,13211
Albania,2014-03-24,0
Albania,2014-03-31,0
Albania,2014-04-07,0
Albania,2014-04-14,12048
Albania,2014-04-21,12294
Albania,2014-04-28,10797
Albania,2014-05-05,0
Albania,2014-05-12,0
Albania,2014-05-19,0
Albania,2014-05-26,0
Albania,2014-06-02,0
Albania,2014-06-09,0
Albania,2014-06-16,0
Albania,2014-06-23,0
Albania,2014-06-30,0
Albania,2014-07-07,0
Albania,2014-07-14,0
Albania,2014-07-21,0
Albania,2014-07-28,0
Albania,2014-08-04,0
Albania,2014-08-11,0
Albania,2014-08-18,0
Albania,2014-08-25,0
Albania,2014-09-01,0
Albania,2014-09-08,0
Albania,2014-09-15,0
Albania,2014-09-22,0
Albania,2014-09-29,10578
Albania,2014-10-06,10861
Albania,2014-10-13,10917
Albania,2014-10-20,0
Albania,2014-10-27,0
Albania,2014-11-03,12160
Albania,2014-11-10,0
Albania,2014-11-17,0
Albania,2014-11-24,0
Albania,2014-12-01,0
Albania,2014-12-08,13143
Albania,2014-12-15,0
Albania,2014-12-22,0
Albania,2014-12-29,0
Albania,2015-01-05,12957
Albania,2015-01-12,16409
Albania,2015-01-19,0
Albania,2015-01-26,0
Albania,2015-02-02,17887
Albania,2015-02-09,0
Albania,2015-02-16,0
Albania,2015-02-23,15238
Albania,2015-03-02,0
Albania,2015-03-09,14189
Albania,2015-03-16,13121
Albania,2015-03-23,0
Albania,2015-03-30,0
Albania,2015-04-06,0
Albania,2015-04-13,0
Albania,2015-04-20,0
Albania,2015-04-27,10854
Albania,2015-05-04,10245
Albania,2015-05-11,0
Albania,2015-05-18,0
Albania,2015-05-25,0
Albania,2015-06-01,0
Albania,2015-06-08,0
Albania,2015-06-15,0
Albania,2015-06-22,0
Albania,2015-06-29,0
Albania,2015-07-06,0
Albania,2015-07-13,0
Albania,2015-07-20,0
Albania,2015-07-27,0
Albania,2015-08-03,0
Albania,2015-08-10,0
Albania,2015-08-17,0
Albania,2015-08-24,0
Albania,2015-08-31,0
Albania,2015-09-07,0
Albania,2015-09-14,0
Albania,2015-09-21,0
Albania,2015-09-28,10004
Albania,2015-10-05,0
Albania,2015-10-12,0
Albania,2015-10-19,0
Albania,2015-10-26,0
Albania,2015-11-02,0
Albania,2015-11-09,0
Albania,2015-11-16,0
Albania,2015-11-23,10264
Albania,2015-11-30,11784
Albania,2015-12-07,10471
Albania,2015-12-14,0
Albania,2015-12-21,0
Albania,2015-12-28,0
Albania,2016-01-04,0
Albania,2016-01-11,0
Albania,2016-01-18,0
Albania,2016-01-25,0
Albania,2016-02-01,0
Albania,2016-02-08,0
Albania,2016-02-15,16128
Albania,2016-02-22,16632
Albania,2016-02-29,15522
Albania,2016-03-07,0
Albania,2016-03-14,0
Albania,2016-03-21,0
Albania,2016-03-28,0
Albania,2016-04-04,0
Albania,2016-04-11,12244
Albania,2016-04-18,0
Albania,2016-04-25,0
Albania,2016-05-02,10274
Albania,2016-05-09,0
Albania,2016-05-16,10937
Albania,2016-05-23,10526
Albania,2016-05-30,0
Albania,2016-06-06,0
Albania,2016-06-13,0
Albania,2016-06-20,8001
Albania,2016-06-27,0
Albania,2016-07-04,7258
Albania,2016-07-11,0
Albania,2016-07-18,0
Albania,2016-07-25,0
Albania,2016-08-01,0
Albania,2016-08-08,6720
Albania,2016-08-15,0
Albania,2016-08-22,7304
Albania,2016-08-29,0
Albania,2016-09-05,0
Albania,2016-09-12,0
Albania,2016-09-19,0
Albania,2016-09-26,0
Albania,2016-10-03,0
Albania,2016-10-10,0
Albania,2016-10-17,10397
Albania,2016-10-24,10550
Albania,2016-10-31,0
Albania,2016-11-07,0
Albania,2016-11-14,0
Albania,2016-11-21,0
Albania,2016-11-28,11680
Albania,2016-12-05,0
Albania,2016-12-12,0
Albania,2016-12-19,0
Albania,2016-12-26,19303
Albania,2017-01-02,0
Albania,2017-01-09,0
Albania,2017-01-16,0
Albania,2017-01-23,0
Albania,2017-01-30,13335
Albania,2017-02-06,0
Albania,2017-02-13,13017
Albania,2017-02-20,0
Albania,2017-02-27,0
Albania,2017-03-06,13023
Albania,2017-03-13,13042
Albania,2017-03-20,11987
Albania,2017-03-27,11771
Albania,2017-04-03,11131
Albania,2017-04-10,11087
Albania,2017-04-17,11432
Albania,2017-04-24,11999
Albania,2017-05-01,9910
Albania,2017-05-08,9727
Albania,2017-05-15,9859
Albania,2017-05-22,10398
Albania,2017-05-29,0
Albania,2017-06-05,0
Albania,2017-06-12,0
Albania,2017-06-19,0
Albania,2017-06-26,0
Albania,2017-07-03,0
Albania,2017-07-10,0
Albania,2017-07-17,0
Albania,2017-07-24,0
Albania,2017-07-31,0
Albania,2017-08-07,0
Albania,2017-08-14,0
Albania,2017-08-21,0
Albania,2017-08-28,0
Albania,2017-09-04,0
Albania,2017-09-11,0
Albania,2017-09-18,0
Albania,2017-09-25,0
Albania,2017-10-02,12089
Albania,2017-10-09,12158
Albania,2017-10-16,0
Albania,2017-10-23,12309
Albania,2017-10-30,12384
Albania,2017-11-06,0
Albania,2017-11-13,12425
Albania,2017-11-20,12448
Albania,2017-11-27,0
Albania,2017-12-04,9562
Albania,2017-12-11,10903
Albania,2017-12-18,10468
Albania,2017-12-25,10104
Albania,2018-01-01,0
Albania,2018-01-08,11258
Albania,2018-01-15,0
Albania,2018-01-22,0
Albania,2018-01-29,0
Albania,2018-02-05,0
Albania,2018-02-12,0
Albania,2018-02-19,0
Albania,2018-02-26,18896
Albania,2018-03-05,16023
Albania,2018-03-12,15082
Albania,2018-03-19,12111
Albania,2018-03-26,11751
Albania,2018-04-02,0
Albania,2018-04-09,10468
Albania,2018-04-16,0
Albania,2018-04-23,0
Albania,2018-04-30,0
Albania,2018-05-07,0
Albania,2018-05-14,10196
Albania,2018-05-21,10057
Albania,2018-05-28,0
Albania,2018-06-04,0
Albania,2018-06-11,0
Albania,2018-06-18,0
Albania,2018-06-25,0
Albania,2018-07-02,0
Albania,2018-07-09,0
Albania,2018-07-16,0
Albania,2018-07-23,0
Albania,2018-07-30,0
Albania,2018-08-06,0
Albania,2018-08-13,0
Albania,2018-08-20,0
Albania,2018-08-27,0
Albania,2018-09-03,0
Albania,2018-09-10,0
Albania,2018-09-17,0
Albania,2018-09-24,0
Albania,2018-10-01,0
Albania,2018-10-08,0
Albania,2018-10-15,12004
Albania,2018-10-22,0
Albania,2018-10-29,0
Albania,2018-11-05,0
Albania,2018-11-12,0
Albania,2018-11-19,0
Albania,2018-11-26,0
Albania,2018-12-03,11423
Albania,2018-12-10,11741
Albania,2018-12-17,11865
Albania,2018-12-24,11673
Albania,2018-12-31,10786
Albania,2019-01-07,11656
Albania,2019-01-14,0
Albania,2019-01-21,16646
Albania,2019-01-28,20353
Albania,2019-02-04,0
Albania,2019-02-11,0
Albania,2019-02-18,16646
Albania,2019-02-25,15865
Albania,2019-03-04,0
Albania,2019-03-11,0
Albania,2019-03-18,12816
Albania,2019-03-25,0
Albania,2019-04-01,11488
Albania,2019-04-08,12032
Albania,2019-04-15,11898
Albania,2019-04-22,0
Albania,2019-04-29,10639
Albania,2019-05-06,11473
Albania,2019-05-13,10955
Albania,2019-05-20,0
Albania,2019-05-27,0
Albania,2019-06-03,0
Albania,2019-06-10,0
Albania,2019-06-17,0
Albania,2019-06-24,0
Albania,2019-07-01,0
Albania,2019-07-08,0
Albania,2019-07-15,0
Albania,2019-07-22,0
Albania,2019-07-29,0
Albania,2019-08-05,0
Albania,2019-08-12,0
Albania,2019-08-19,0
Albania,2019-08-26,0
Albania,2019-09-02,0
Albania,2019-09-09,0
Albania,2019-09-16,0
Albania,2019-09-23,0
Albania,2019-09-30,10717
Albania,2019-10-07,11009
Albania,2019-10-14,11909
Albania,2019-10-21,11711
Albania,2019-10-28,0
Albania,2019-11-04,11803
Albania,2019-11-11,0
Albania,2019-11-18,11988
Albania,2019-11-25,12032
